area,row,col,x,y
3,1,1,351.0,878.0
3,1,2,364.8,878.0
3,1,3,378.5,878.0
3,1,4,392.3,878.0
3,1,5,406.0,878.0
3,1,6,419.8,878.0
3,1,7,433.6,878.0
3,1,8,447.3,878.0
3,1,9,461.1,878.0
3,1,10,474.8,878.0
3,1,11,488.6,878.0
3,1,12,502.3,878.0
3,1,13,516.1,878.0
3,1,14,529.9,878.0
3,1,15,543.6,878.0
3,1,16,557.4,878.0
3,1,17,571.1,878.0
3,1,18,584.9,878.0
3,1,19,598.7,878.0
3,1,20,612.4,878.0
3,1,21,626.2,878.0
3,1,22,639.9,878.0
3,1,23,653.7,878.0
3,1,24,667.4,878.0
3,1,25,681.2,878.0
3,1,26,695.0,878.0
3,1,27,708.7,878.0
3,1,28,722.5,878.0
3,1,29,736.2,878.0
3,1,30,750.0,878.0
3,2,1,351.0,846.0
3,2,2,364.8,846.0
3,2,3,378.5,846.0
3,2,4,392.3,846.0
3,2,5,406.0,846.0
3,2,6,419.8,846.0
3,2,7,433.6,846.0
3,2,8,447.3,846.0
3,2,9,461.1,846.0
3,2,10,474.8,846.0
3,2,11,488.6,846.0
3,2,12,502.3,846.0
3,2,13,516.1,846.0
3,2,14,529.9,846.0
3,2,15,543.6,846.0
3,2,16,557.4,846.0
3,2,17,571.1,846.0
3,2,18,584.9,846.0
3,2,19,598.7,846.0
3,2,20,612.4,846.0
3,2,21,626.2,846.0
3,2,22,639.9,846.0
3,2,23,653.7,846.0
3,2,24,667.4,846.0
3,2,25,681.2,846.0
3,2,26,695.0,846.0
3,2,27,708.7,846.0
3,2,28,722.5,846.0
3,2,29,736.2,846.0
3,2,30,750.0,846.0
3,3,1,351.0,828.0
3,3,2,364.8,828.0
3,3,3,378.5,828.0
3,3,4,392.3,828.0
3,3,5,406.0,828.0
3,3,6,419.8,828.0
3,3,7,433.6,828.0
3,3,8,447.3,828.0
3,3,9,461.1,828.0
3,3,10,474.8,828.0
3,3,11,488.6,828.0
3,3,12,502.3,828.0
3,3,13,516.1,828.0
3,3,14,529.9,828.0
3,3,15,543.6,828.0
3,3,16,557.4,828.0
3,3,17,571.1,828.0
3,3,18,584.9,828.0
3,3,19,598.7,828.0
