3	1	1	30	695	1009	1255	1009
3	2	4	30	695	961	1255	916
3	5	7	30	695	870	1255	824
3	8	8	30	695	778	1255	778
3	9	9	15	965	684	1253	684
3	10	12	15	965	639	1253	595
3	13	15	13	1030	552	1254	506
3	16	16	13	1030	463	1254	463
2	1	1	30	656	990	1166	990
2	2	4	30	656	944	1166	898
2	5	7	30	656	853	1166	807
2	8	8	30	656	761	1166	761
2	9	9	30	656	667	1166	667
2	10	12	30	656	622	1166	578
2	13	14	30	656	534	1166	511
2	15	15	25	744	489	1169	489
2	16	16	25	744	446	1169	446
2	17	17	55	660	385	1663	385
2	18	19	55	660	342	1663	319
2	20	20	54	660	293	1663	293
2	21	21	49	660	244	1578	244
2	22	22	48	660	220	1561	220
2	23	23	47	660	196	1544	196
2	24	24	46	660	149	1527	149
2	25	25	45	660	81	1459	81
2	26	26	44	660	57	1442	57
1	1	1	35	628	968	1172	968
1	2	3	35	628	927	1172	904
1	4	4	34	628	881	1172	881
1	5	6	34	628	837	1172	814
1	7	7	33	628	791	1172	791
1	8	8	33	628	747	1172	747
1	9	9	32	628	651	1189	651
1	10	12	32	628	610	1189	566
1	13	15	31	628	525	1189	481
1	16	16	31	628	440	1189	440
5	1	1	30	744	972	1240	972
5	2	4	30	744	931	1240	891
5	5	7	30	744	850	1240	807
5	8	8	30	744	767	1240	767
5	9	9	10	744	684	904	684
5	10	12	10	744	644	904	604
5	13	15	10	744	564	904	526
5	16	16	9	763	486	907	486
6	1	1	30	841	1005	1275	1005
6	2	4	30	841	968	1275	932
6	5	7	30	841	895	1275	859
6	8	8	30	841	822	1275	822
6	9	9	30	841	748	1275	748
6	10	12	30	841	713	1275	677
6	13	14	30	841	642	1275	624
6	15	15	25-6	841	606	1135	606
6	15	15	5-1	1205	608	1275	608
6	16	16	25-6	841	571	1135	571
6	16	16	5-1	1205	571	1275	571
6	17	17	30	841	521	1275	521
6	18	20	30	841	484	1275	448
6	21	23	30	841	411	1275	375
6	24	24	30	841	338	1275	338
6	25	25	33	841	283	1317	283
7	1	1	22	860	1007	1185	1007
7	2	3	22	853	962	1191	945
7	4	4	23	853	928	1191	928
7	5	7	24	846	892	1197	858
7	8	8	25	840	831	1204	831
7	9	9	26	827	747	1217	747
7	10	12	27	827	717	1225	683
7	13	14	28	820	650	1224	633
7	15	15	29	815	616	1231	616
7	16	16	29	809	583	1238	583
7	17	17	30	803	524	1245	524
7	18	19	31	801	491	1243	474
7	20	20	32	796	458	1251	458
7	21	22	32	794	422	1250	405
7	23	23	33	788	388	1256	388
7	24	24	33	781	352	1262	352
8	1	1	20	932	966	1192	966
8	2	3	20	926	930	1199	914
8	4	4	21	926	898	1199	898
8	5	5	22	922	865	1208	865
8	6	6	21	922	848	1208	848
8	7	7	23	922	831	1208	831
8	8	8	23	922	807	1208	807
8	9	9	24	911	729	1223	729
8	10	11	25	911	705	1225	688
8	12	12	26	906	672	1231	672
8	13	14	26	908	645	1233	628
8	15	15	27	901	611	1239	611
8	16	16	27	904	580	1242	580
8	17	17	29	897	529	1248	529
8	18	19	30	893	504	1257	487
8	20	20	31	893	470	1257	470
8	21	22	31	886	433	1265	418
8	23	23	32	883	403	1273	403
8	24	24	32	883	374	1273	374
9	1	1	21	894	959	1170	959
9	2	3	21	884	921	1184	905
9	4	4	22	884	889	1184	889
9	5	5	22	877	855	1189	855
9	6	7	23	877	839	1189	823
9	8	8	23	871	795	1195	795
9	9	10	25	856	710	1223	682
9	11	12	26	851	666	1223	650
9	13	14	27	838	622	1234	606
9	15	16	28	838	590	1240	562
9	17	17	30	826	499	1246	499
9	18	19	30	818	471	1258	455
9	20	21	31	814	439	1268	402
9	22	23	32	802	386	1270	370
9	24	24	32	800	339	1280	339
10	1	1	20	862	963	1156	963
10	2	3	20	854	927	1162	910
10	4	4	21	854	893	1162	893
10	5	6	21	846	854	1168	837
10	7	7	23	846	820	1168	820
10	8	8	23	849	786	1171	786
10	9	9	25	842	707	1178	707
10	10	11	23	836	678	1186	661
10	12	12	26	835	644	1185	644
10	13	14	26	828	614	1192	597
10	15	15	27	821	580	1199	580
10	16	16	27	822	546	1200	546
10	17	18	29	815	489	1214	461
10	19	19	30	807	444	1213	444
10	20	20	31	807	427	1213	427
10	21	22	31	801	390	1221	373
10	23	23	32	801	356	1221	356
10	24	24	32	794	321	1228	321
12	7	8	20	741	890	1067	860
12	9	9	22	735	775	1034	775
12	10	11	22	728	740	1053	721
12	12	12	23	728	702	1053	702
12	13	14	23	719	667	1070	648
12	15	15	24	717	629	1068	629
12	16	16	24	710	594	1061	594
12	17	17	26	711	540	1062	540
12	18	19	26	696	502	1073	483
12	20	20	27	696	464	1073	464
12	21	21	27	691	426	1094	426
12	22	22	28	691	407	1094	407
12	23	23	29	689	388	1092	388
12	24	24	28	685	353	1101	353
13	1	1	20	759	957	1053	957
13	2	2	20	760	921	1054	921
13	3	4	21	760	904	1061	887
13	5	6	22	752	856	1060	839
13	7	7	23	745	822	1067	822
13	8	8	23	745	790	1067	790
13	9	9	25	735	707	1071	707
13	10	10	25	729	675	1079	675
13	11	11	26	729	658	1079	658
13	12	12	27	729	641	1079	641
13	13	14	27	722	609	1086	592
13	15	15	28	722	575	1086	575
13	16	16	28	714	551	1092	551
13	17	17	29	706	491	1098	491
13	18	19	30	704	464	1097	447
13	20	20	31	698	430	1104	430
13	21	22	31	698	392	1103	375
13	23	23	33	692	358	1112	358
13	24	24	33	688	327	1108	327
14	1	1	21	777	956	1057	956
14	2	3	21	770	925	1063	906
14	4	4	22	763	887	1071	887
14	5	5	22	762	856	1070	856
14	6	7	23	755	837	1077	818
14	8	8	23	749	787	1085	787
14	9	9	25	730	706	1094	706
14	10	10	25	729	687	1093	687
14	11	12	26	722	668	1099	649
14	13	13	26	714	621	1106	621
14	14	14	27	713	602	1105	602
14	15	15	28	708	583	1114	583
14	16	16	28	704	552	1110	552
14	17	18	30	689	487	1132	468
14	19	19	30	681	449	1129	449
14	20	20	31	678	430	1126	430
14	21	21	31	670	399	1137	399
14	22	23	32	670	380	1143	361
14	24	24	32	660	330	1150	330
15	1	1	19	837	954	1110	954
15	2	3	20	831	919	1114	902
15	4	4	21	828	885	1114	885
15	5	6	21	821	852	1119	835
15	7	7	22	813	818	1125	818
15	8	8	23	812	788	1124	788
15	9	9	25	801	703	1126	703
15	10	12	25	795	682	1128	648
15	13	13	26	784	613	1135	613
15	14	15	27	784	596	1141	579
15	16	16	27	777	546	1141	546
15	17	17	30	766	486	1143	486
15	18	18	29	760	458	1150	458
15	19	19	30	758	441	1148	441
15	20	20	31	758	424	1148	424
15	21	23	31	751	391	1160	355
15	24	24	32	742	325	1158	325
16	1	1	21	733	954	1045	954
16	2	3	22	727	912	1049	894
16	4	4	23	725	876	1049	876
16	5	6	23	719	844	1056	826
16	7	7	24	716	808	1064	808
16	8	8	24	714	783	1062	783
16	9	9	26	703	704	1075	704
16	10	12	26	703	675	1081	639
16	13	13	27	692	610	1088	610
16	14	15	28	692	592	1088	574
16	16	16	28	686	545	1094	545
16	17	17	29	681	484	1101	484
16	18	18	30	676	455	1108	455
16	19	20	31	676	437	1108	419
16	21	21	31	671	390	1115	390
16	22	23	32	671	372	1115	354
16	24	24	34	661	322	1117	322
17	1	1	30	698	1001	1146	1001
17	2	4	30	698	963	1146	925
17	5	7	30	698	889	1146	851
17	8	8	30	698	815	1146	815
17	9	9	30	698	739	1146	739
17	10	12	30	698	705	1146	667
17	13	15	30	698	632	1146	596
17	16	16	30	698	562	1146	562
17	17	17	30	698	510	1146	510
17	18	20	30	698	473	1146	435
17	21	23	30	698	398	1146	360
17	24	24	30	698	323	1146	323
17	25	26	30	698	267	1146	250
18	1	1	30	650	1009	1098	1009
18	2	4	30	650	971	1098	933
18	5	7	30	650	898	1098	860
18	8	8	30	650	825	1098	825
18	9	9	30	650	748	1098	748
18	10	12	30	650	713	1098	675
18	13	15	30	650	643	1098	605
18	16	16	30	650	570	1098	570
18	17	17	24-9	650	519	874	519
18	17	17	8-1	993	519	1091	519
18	18	18	24-9	650	482	874	482
18	18	18	8-1	993	482	1091	482
18	19	19	28	682	463	1102	463
