3	1	1	30	351	878	750	878
3	2	4	30	351	846	750	810
3	5	7	30	351	781	750	745
3	8	8	30	351	713	750	713
3	9	9	15	548	646	748	646
3	10	12	15	548	615	748	583
3	13	15	13	594	551	750	519
3	16	16	13	594	488	750	488
2	1	1	30	803	876	1173	876
2	2	4	30	803	844	1173	810
2	5	7	30	803	778	1173	745
2	8	8	30	803	713	1173	713
2	9	9	30	803	646	1173	646
2	10	12	30	804	614	1173	583
2	13	14	30	803	551	1173	535
2	15	15	25	866	519	1173	519
2	16	16	25	866	487	1173	487
2	17	17	55	804	442	1532	442
2	18	19	55	804	410	1532	393
2	20	20	54	804	376	1532	376
2	21	21	49	804	341	1467	341
2	22	22	48	804	324	1454	324
2	23	23	47	804	308	1441	308
2	24	24	46	804	276	1428	276
2	25	25	45	804	226	1389	226
2	26	26	44	804	210	1376	210
1	1	1	35	1242	876	1632	876
1	2	3	35	1242	847	1632	830
1	4	4	34	1242	813	1632	813
1	5	6	34	1242	780	1632	763
1	7	7	33	1242	746	1632	746
1	8	8	33	1242	713	1632	713
1	9	9	32	1242	645	1645	645
1	10	12	32	1242	616	1645	582
1	13	15	31	1242	553	1645	519
1	16	16	31	1242	490	1645	490
